datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-10-25 10:45:00,1635158700,70.86,70.86,70.86,70.86,1,10,1
2021-10-25 11:00:00,1635159600,70.86,70.86,70.86,70.86,2,10,3
2021-10-25 11:15:00,1635160500,70.86,70.86,70.85,70.85,3,10,14
2021-10-25 11:30:00,1635161400,70.84,70.84,70.84,70.84,3,84,26
2021-10-25 11:45:00,1635162300,70.0,70.0,69.99,69.99,2,248,3
2021-10-25 12:00:00,1635163200,69.99,69.99,69.99,69.99,2,247,20
2021-10-25 12:45:00,1635165900,67.51,67.51,67.51,67.51,1,27,2
2021-10-25 13:00:00,1635166800,67.0,71.0,66.51,70.15,9,115,95
2021-10-25 13:15:00,1635167700,79.0,79.0,70.38,70.38,8,100,55
2021-10-25 14:15:00,1635171300,70.99,70.99,70.9,70.9,2,781,25
2021-10-25 14:45:00,1635173100,67.94,67.94,67.26,67.26,2,1,20
2021-10-25 15:00:00,1635174000,70.0,71.0,70.0,71.0,2,29,21
2021-10-25 15:30:00,1635175800,70.99,70.99,70.99,70.99,2,1,11
2021-10-25 16:00:00,1635177600,70.7,70.7,70.7,70.7,2,20,11
2021-10-25 16:15:00,1635178500,70.7,70.7,70.7,70.7,1,20,22
2021-10-25 16:30:00,1635179400,70.9,71.0,70.9,71.0,2,30,20
2021-10-25 16:45:00,1635180300,71.0,71.0,71.0,71.0,1,30,1
2021-10-26 10:00:00,1635242400,71.7,71.71,71.7,71.71,5,1,108
2021-10-26 10:15:00,1635243300,71.71,71.71,71.71,71.71,1,545,11
2021-10-26 10:45:00,1635245100,72.55,78.0,71.0,75.43,8,228,47
2021-10-26 11:15:00,1635246900,70.99,70.99,70.99,70.99,2,70,11
2021-10-26 11:30:00,1635247800,71.71,75.96,70.99,70.99,7,63,135
2021-10-26 11:45:00,1635248700,71.0,71.0,71.0,71.0,1,73,1
2021-10-26 12:15:00,1635250500,71.0,71.0,70.5,70.5,5,1,72
2021-10-26 12:30:00,1635251400,70.16,70.16,70.16,70.16,2,298,17
2021-10-26 12:45:00,1635252300,70.4,70.4,70.4,70.4,1,281,5
2021-10-26 13:15:00,1635254100,70.01,70.01,70.01,70.01,1,251,1
2021-10-26 14:45:00,1635259500,69.17,71.73,69.17,71.5,4,295,57
2021-10-26 15:00:00,1635260400,67.55,70.64,67.55,70.0,4,1,50
2021-10-26 15:15:00,1635261300,70.64,71.23,70.64,71.23,3,293,20
2021-10-26 16:15:00,1635264900,71.1,71.1,71.1,71.1,1,344,1
2021-10-26 17:30:00,1635269400,70.99,70.99,70.99,70.99,1,339,2
2021-10-27 10:30:00,1635330600,71.23,71.23,71.23,71.23,1,444,5
2021-10-27 10:45:00,1635331500,72.0,72.0,71.14,71.14,2,358,6
2021-10-27 11:15:00,1635333300,71.15,71.15,71.14,71.14,3,429,26
2021-10-27 12:15:00,1635336900,71.87,71.87,71.87,71.87,1,364,1
2021-10-27 14:30:00,1635345000,71.47,71.47,71.47,71.47,1,358,16
2021-10-27 16:15:00,1635351300,71.47,71.47,71.47,71.47,1,35,2
2021-10-27 16:45:00,1635353100,70.0,70.0,70.0,70.0,1,210,1
2021-10-27 17:00:00,1635354000,70.0,70.0,70.0,70.0,1,210,1
2021-10-28 10:15:00,1635416100,71.0,71.0,69.75,69.75,3,125,24
2021-10-28 10:45:00,1635417900,69.75,70.59,69.75,70.59,2,49,2
2021-10-28 11:45:00,1635421500,69.73,69.73,69.25,69.25,2,49,29
2021-10-28 12:00:00,1635422400,69.0,69.0,69.0,69.0,1,117,5
2021-10-28 13:15:00,1635426900,68.06,68.06,68.06,68.06,1,51,6
2021-10-28 14:15:00,1635430500,68.57,68.57,68.57,68.57,1,90,16
2021-10-28 15:30:00,1635435000,67.75,67.75,67.75,67.75,1,90,21
2021-10-28 16:00:00,1635436800,67.75,67.75,67.67,67.67,2,90,98
2021-10-28 17:00:00,1635440400,69.27,69.27,69.27,69.27,3,159,12
2021-10-29 10:00:00,1635501600,69.27,69.27,68.0,68.0,4,0,20
2021-10-29 10:15:00,1635502500,67.83,67.99,67.83,67.99,3,33,3
2021-10-29 10:30:00,1635503400,68.0,68.7,67.66,67.82,5,34,92
2021-10-29 10:45:00,1635504300,67.66,67.66,66.51,66.51,3,104,5
2021-10-29 11:00:00,1635505200,65.02,67.0,65.02,67.0,4,99,169
2021-10-29 11:15:00,1635506100,65.12,65.12,64.9,64.9,2,219,2
2021-10-29 11:30:00,1635507000,65.05,66.17,65.05,66.17,3,38,21
2021-10-29 11:45:00,1635507900,65.81,66.74,65.81,66.74,4,25,101
2021-10-29 12:00:00,1635508800,65.91,66.57,65.91,66.57,2,56,2
2021-10-29 12:15:00,1635509700,66.01,66.21,66.01,66.01,3,21,3
2021-10-29 12:30:00,1635510600,65.78,65.85,65.78,65.85,3,167,3
2021-10-29 12:45:00,1635511500,65.78,65.78,64.9,64.9,2,215,9
2021-10-29 13:00:00,1635512400,69.18,69.18,64.9,64.9,3,207,3
2021-10-29 13:15:00,1635513300,64.9,64.9,64.9,64.9,1,207,1
2021-10-29 13:30:00,1635514200,64.9,64.9,64.9,64.9,2,207,2
2021-10-29 13:45:00,1635515100,64.9,64.9,64.9,64.9,1,204,1
2021-10-29 14:00:00,1635516000,64.9,64.91,64.9,64.91,2,203,2
2021-10-29 14:15:00,1635516900,64.91,64.91,64.9,64.9,2,204,2
2021-10-29 14:30:00,1635517800,64.9,64.9,64.9,64.9,1,119,1
2021-10-29 14:45:00,1635518700,64.57,64.7,64.57,64.7,2,113,2
