datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-10-25 10:30:00,1635157800,70.03,71.0,70.03,71.0,9,0,1200
2021-10-25 10:45:00,1635158700,70.2,71.0,70.02,71.0,9,12,2000
2021-10-25 11:00:00,1635159600,70.02,70.97,70.0,70.96,5,85,500
2021-10-25 11:15:00,1635160500,70.95,70.95,70.94,70.95,3,67,400
2021-10-25 11:30:00,1635161400,70.1,70.77,70.0,70.77,3,77,500
2021-10-25 12:15:00,1635164100,69.0,69.0,67.51,67.51,2,245,1100
2021-10-25 12:45:00,1635165900,70.0,70.49,70.0,70.49,3,125,800
2021-10-25 13:00:00,1635166800,69.0,69.0,69.0,69.0,1,139,100
2021-10-25 13:15:00,1635167700,70.39,70.5,68.5,70.5,10,89,1600
2021-10-25 14:15:00,1635171300,70.79,70.79,70.79,70.79,2,1,300
2021-10-25 14:45:00,1635173100,70.78,70.78,70.78,70.78,1,168,200
2021-10-25 15:15:00,1635174900,70.69,70.7,70.69,70.7,2,161,500
2021-10-25 15:30:00,1635175800,70.64,70.65,70.64,70.65,2,149,400
2021-10-25 16:45:00,1635180300,70.6,70.95,70.6,70.95,4,159,1900
2021-10-25 17:00:00,1635181200,71.0,71.0,71.0,71.0,12,248,13400
2021-10-26 10:30:00,1635244200,70.5,71.01,70.5,71.01,2,1,200
2021-10-26 10:45:00,1635245100,71.01,71.01,71.01,71.01,2,1,400
2021-10-26 11:00:00,1635246000,71.01,71.01,71.01,71.01,2,493,200
2021-10-26 11:15:00,1635246900,71.0,71.0,71.0,71.0,1,427,100
2021-10-26 11:30:00,1635247800,71.0,71.0,71.0,71.0,2,149,200
2021-10-26 12:00:00,1635249600,70.5,70.5,70.5,70.5,2,49,200
2021-10-26 12:15:00,1635250500,70.5,70.5,70.5,70.5,2,45,200
2021-10-26 12:30:00,1635251400,70.11,70.11,70.02,70.02,4,9,800
2021-10-26 12:45:00,1635252300,70.49,70.5,70.41,70.5,6,1,600
2021-10-26 13:00:00,1635253200,71.0,71.0,70.5,70.5,4,22,400
2021-10-26 13:15:00,1635254100,70.01,70.48,70.0,70.48,5,44,900
2021-10-26 13:30:00,1635255000,70.5,70.5,70.0,70.0,6,0,1000
2021-10-26 14:45:00,1635259500,70.41,73.0,70.0,71.02,13,41,1700
2021-10-26 15:00:00,1635260400,71.09,71.95,70.03,70.88,7,10,900
2021-10-26 15:15:00,1635261300,70.51,72.0,70.51,72.0,4,0,400
2021-10-26 15:30:00,1635262200,70.0,71.0,69.83,69.83,9,1,2200
2021-10-26 15:45:00,1635263100,70.34,70.34,70.34,70.34,1,89,100
2021-10-26 16:15:00,1635264900,70.7,70.71,70.7,70.71,2,89,300
2021-10-26 16:30:00,1635265800,70.97,70.99,70.2,70.22,11,1,1400
2021-10-26 16:45:00,1635266700,70.48,71.0,69.62,69.62,7,1,8700
2021-10-26 17:00:00,1635267600,70.0,70.0,70.0,70.0,14,0,6600
2021-10-27 10:00:00,1635328800,71.0,71.0,71.0,71.0,1,694,100
2021-10-27 10:30:00,1635330600,73.01,73.4,72.39,72.39,4,0,400
2021-10-27 10:45:00,1635331500,73.21,73.51,72.29,72.29,10,0,1000
2021-10-27 11:00:00,1635332400,71.85,72.5,71.85,72.01,4,60,600
2021-10-27 11:15:00,1635333300,72.05,72.05,70.28,70.4,8,27,1000
2021-10-27 11:30:00,1635334200,70.4,70.4,70.0,70.3,14,25,4300
2021-10-27 11:45:00,1635335100,70.01,70.39,69.75,70.28,11,31,4400
2021-10-27 12:15:00,1635336900,69.92,70.4,69.92,70.4,2,37,200
2021-10-27 12:30:00,1635337800,70.02,70.27,70.01,70.27,4,22,400
2021-10-27 12:45:00,1635338700,69.75,69.75,69.75,69.75,1,23,100
2021-10-27 13:00:00,1635339600,69.98,70.36,69.75,69.75,5,23,500
2021-10-27 13:15:00,1635340500,70.0,70.0,70.0,70.0,2,1,200
2021-10-27 13:30:00,1635341400,70.03,70.03,70.03,70.03,1,24,100
2021-10-27 13:45:00,1635342300,69.75,69.75,69.75,69.75,1,56,100
2021-10-27 14:45:00,1635345900,70.35,70.35,70.35,70.35,2,41,200
2021-10-27 16:45:00,1635353100,70.0,70.0,69.75,69.75,3,0,22200
2021-10-27 17:00:00,1635354000,69.75,69.75,69.75,69.75,8,75,3900
2021-10-28 10:00:00,1635415200,69.75,69.82,69.75,69.75,9,17,1000
2021-10-28 10:15:00,1635416100,69.5,69.5,69.5,69.5,2,34,1000
2021-10-28 10:30:00,1635417000,69.15,69.15,68.82,68.82,3,18,1900
2021-10-28 10:45:00,1635417900,68.82,68.82,68.82,68.82,1,35,200
2021-10-28 11:00:00,1635418800,69.0,69.25,69.0,69.25,5,24,2300
2021-10-28 11:30:00,1635420600,69.25,69.25,69.0,69.0,6,24,4100
2021-10-28 12:00:00,1635422400,68.64,68.64,68.62,68.62,3,23,1000
2021-10-28 12:15:00,1635423300,68.62,68.62,68.42,68.42,4,15,2200
2021-10-28 12:45:00,1635425100,68.27,68.27,68.27,68.27,3,1,400
2021-10-28 13:30:00,1635427800,68.26,68.26,68.26,68.26,1,23,1000
2021-10-28 14:45:00,1635432300,68.49,68.79,68.49,68.78,4,23,400
2021-10-28 17:00:00,1635440400,68.78,68.78,68.78,68.78,4,75,1000
2021-10-29 10:00:00,1635501600,68.29,68.29,68.25,68.25,3,97,700
2021-10-29 10:15:00,1635502500,68.0,68.9,67.99,68.9,10,20,1000
2021-10-29 10:30:00,1635503400,68.0,68.78,68.0,68.01,8,25,800
2021-10-29 10:45:00,1635504300,68.79,68.79,66.49,66.49,15,15,3700
2021-10-29 11:00:00,1635505200,66.5,68.0,66.03,66.81,21,1,3400
2021-10-29 11:15:00,1635506100,66.81,66.99,65.93,66.99,20,39,4800
2021-10-29 11:30:00,1635507000,66.2,66.98,65.81,66.62,6,20,600
2021-10-29 11:45:00,1635507900,66.36,67.39,66.15,67.39,22,19,3700
2021-10-29 12:00:00,1635508800,66.61,66.61,66.6,66.6,3,13,300
2021-10-29 12:15:00,1635509700,66.21,66.89,65.75,65.75,19,12,5200
2021-10-29 12:30:00,1635510600,65.76,65.76,65.7,65.7,3,6,300
2021-10-29 12:45:00,1635511500,65.5,65.9,65.5,65.9,4,15,400
2021-10-29 13:00:00,1635512400,65.89,65.99,65.5,65.5,16,16,6700
2021-10-29 13:15:00,1635513300,65.51,65.51,65.5,65.5,5,10,500
