datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-06-26 14:00:00,1151330400,32.91,32.91,32.91,32.91,1,0,20
2006-06-27 16:00:00,1151424000,32.5,32.5,32.5,32.5,2,0,20
2006-07-05 12:00:00,1152100800,60.0,60.0,60.0,60.0,2,0,20
2006-11-23 17:00:00,1164301200,44.0,44.0,44.0,44.0,2,0,7
2007-03-13 15:00:00,1173798000,44.01,44.01,44.01,44.01,1,0,20
2007-07-10 15:00:00,1184079600,53.01,53.01,53.01,53.01,2,0,19
2007-07-12 11:00:00,1184238000,52.0,52.0,52.0,52.0,2,0,32
2007-09-03 16:00:00,1188835200,105.0,105.0,105.0,105.0,1,0,5
2007-10-11 16:00:00,1192118400,75.01,75.01,75.01,75.01,1,0,2
2008-06-03 12:00:00,1212494400,90.0,90.0,90.0,90.0,1,0,7
2008-09-03 16:00:00,1220457600,38.0,38.0,38.0,38.0,2,0,8
2008-09-04 15:00:00,1220540400,50.0,50.0,50.0,50.0,1,0,3
2008-10-15 13:00:00,1224075600,22.0,22.0,22.0,22.0,1,0,78
2008-10-31 15:00:00,1225465200,40.0,40.0,40.0,40.0,2,0,5
2009-10-26 15:00:00,1256569200,25.71,25.71,25.71,25.71,3,0,34
2009-11-24 15:00:00,1259074800,35.0,35.0,35.0,35.0,1,0,2
2010-01-11 16:00:00,1263225600,40.0,40.0,40.0,40.0,1,0,10
2010-01-18 12:00:00,1263816000,40.0,40.0,40.0,40.0,1,0,1
2010-02-05 16:00:00,1265385600,30.02,30.02,30.02,30.02,1,0,70
2010-03-29 11:00:00,1269860400,39.99,39.99,39.99,39.99,1,0,75
2010-04-23 14:00:00,1272031200,39.99,39.99,39.99,39.99,1,0,14
2011-01-12 13:00:00,1294837200,200.0,200.0,200.0,200.0,2,0,2
2011-02-18 12:00:00,1298030400,38.0,38.0,38.0,38.0,1,0,4
2011-05-10 14:00:00,1305036000,32.0,32.0,32.0,32.0,2,0,96
2011-07-26 13:00:00,1311685200,38.0,38.0,38.0,38.0,1,0,3
2012-04-02 11:00:00,1333364400,52.0,52.0,52.0,52.0,1,0,8
2012-07-05 11:00:00,1341486000,39.2,39.2,39.2,39.2,2,0,2
2014-10-03 16:00:00,1412352000,35.0,35.0,35.0,35.0,1,0,7
2014-12-18 16:00:00,1418918400,12.5,12.5,12.5,12.5,1,0,13
2017-07-19 10:00:00,1500458400,7.0,7.0,7.0,7.0,1,1,40
2017-09-22 11:00:00,1506078000,6.7,6.7,6.7,6.7,1,1,40
2018-02-06 11:00:00,1517914800,8.3,8.3,8.3,8.3,1,1,30
2018-03-12 16:00:00,1520870400,10.0,10.0,10.0,10.0,1,1,40
2018-03-16 11:00:00,1521198000,10.0,10.0,10.0,10.0,1,1,20
2018-04-03 14:00:00,1522764000,10.0,10.0,10.0,10.0,1,1,60
2019-08-16 12:00:00,1565956800,12.0,12.0,12.0,12.0,1,0,10
2019-09-02 16:00:00,1567440000,10.0,10.0,10.0,10.0,2,0,50
2019-09-03 13:00:00,1567515600,11.5,11.5,11.5,11.5,1,0,49
2020-04-28 16:00:00,1588089600,11.5,11.5,11.5,11.5,1,38,10
2020-07-15 10:00:00,1594807200,22.5,22.5,20.0,20.0,2,250,58
2020-07-15 11:00:00,1594810800,20.0,20.0,20.0,20.0,1,0,42
2020-07-15 12:00:00,1594814400,23.99,29.99,23.99,29.99,24,0,209
2020-07-15 13:00:00,1594818000,29.99,29.99,27.0,27.0,17,1,148
2020-07-15 14:00:00,1594821600,26.9,28.0,26.9,28.0,7,40,85
